"scrubbed_species_binomial"	"verbatim_family"	"verbatim_scientific_name"	"family_matched"	"name_matched"	"name_matched_author"	"higher_plant_group"	"scrubbed_taxonomic_status"	"scrubbed_family"	"scrubbed_author"	"native_status"	"native_status_reason"	"native_status_sources"	"is_introduced"	"native_status_country"	"native_status_state_province"	"native_status_county_parish"	"country"	"state_province"	"county"	"locality"	"latitude"	"longitude"	"date_collected"	"datasource"	"dataset"	"dataowner"	"custodial_institution_codes"	"collection_code"	"datasource_id"	"is_cultivated_observation"	"is_cultivated_in_region"	"is_location_cultivated"	"is_new_world"	"observation_type"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"flbr, conosur"	0	"N"	"N"	NA	"Brazil"	"Pernambuco"	NA	"Estrada entre Surubim e Bom Jardim, ca. 15 Km de Surubim. Afloramento rochsoso."	-7.85	-35.666667	2002-07-21	"GBIF"	"JBRJ"	"JBRJ"	"JBRJ"	"RB"	1928	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Tabebuia selachidentata A.H.Gentry"	"Bignoniaceae"	"Tabebuia selachidentata"	"A.H. Gentry"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Morro das Tocas"	-12.716667	-39.7	1995-12-16	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Serra do Rabichão, Planalto Residual do Urucum. Borda de Floresta Estacional Decidual. Estrada de acesso à Fazenda Carandá. Solo ferruginoso."	-19.066667	-57.483333	2004-12-09	"GBIF"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"CPAP"	2018	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Santa Fe"	"San Cristobal"	""	-30.23	-61.4	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Corrientes"	"Itati"	"Ruta 12, 47 Km E de Itatí (Ea. Santa Catalina)"	-27.31	-58.07	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S. Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	NA	"Quiapaca, 10 km N of Santiago, valley of Río Tucuvaca dry forest. Transect 1."	-18.33333	-59.5	1991-05-16	"MO"	"MO"	"MO"	"MO"	NA	280	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Corrientes"	NA	"Perechón, 4 Km da ruta 12. Quebrachal degradada."	-27.683333	-58.129444	2007-01-31	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Tabebuia selachidentata A.H.Gentry"	"Bignoniaceae"	"Tabebuia selachidentata"	"A.H. Gentry"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Baixa do Fontana. Brejo do Bingo. Território Indígena Pankararé."	-9.333333	-38.483333	2004-08-10	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Formosa"	"Patino"	"Cruce entre las rutas 81 y 95."	-24.84	-59.99	NA	"GBIF"	"BAB"	"BAB"	"BAB"	"HERB"	3614	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Handroanthus selachidentatus (A.H.Gentry) S.O.Grose"	"Bignoniaceae"	"Handroanthus selachidentatus"	"(A.H. Gentry) S.O. Grose"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Fazenda Itaberaba, ilhas de vegetação em Inselberg."	-12.501667	-40.084167	2008-02-08	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Assentamento Tamarineiro II Sul- Sr. Albino Lote 92"	-19.108611	-57.7875	2009-10-27	"GBIF"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"CPAP"	2018	0	0	NA	1	"specimen"
"Senna coimbrae"	"Leguminosae"	"Senna coimbrae"	"Fabaceae"	"Senna coimbrae"	"M. Nee & Barneby"	"flowering plants"	"Accepted"	"Fabaceae"	"M. Nee & Barneby"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Andres Ibanez"	"12 km E of center of Santa Cruz on road to Cotoca"	-17.766667	-63.066667	1988-02-09	"SpeciesLink"	"IBt"	"IBt"	"IBt"	"SP"	971	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Tabebuia selachidentata A.H.Gentry"	"Bignoniaceae"	"Tabebuia selachidentata"	"A.H. Gentry"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Estrada para a Serra da Pedra Grande."	-11.123333	-38.773611	2005-11-15	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Fazenda São Sebastião do Carandá - próximo ao morro Ladário."	-19.075389	-57.516167	2001-08-09	"GBIF"	"Fundação Universidade Federal de Mato Grosso do Sul (UFMS)"	"Fundação Universidade Federal de Mato Grosso do Sul (UFMS)"	"Fundação Universidade Federal de Mato Grosso do Sul (UFMS)"	"CGMS"	2258	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Formosa"	"Patino"	"6 km de San Carlos por ruta Gral. Belgrano-San Carlos, en direcc. S."	-24.84	-59.99	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Bauhinia tuichiensis"	"Fabaceae"	"Bauhinia tuichiensis Cayola & A. Fuentes"	"Fabaceae"	"Bauhinia tuichiensis"	"Cayola & A. Fuentes"	"flowering plants"	"Accepted"	"Fabaceae"	"Cayola & A. Fuentes"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"La Paz"	"Franz Tamayo"	"Area Natural de Manejo Integrado Madidi, Azariamas, Encuentro Azariamas. Bosque de yungas subandino pluviestacional con Oxandra espintana y Eugenia sp. Fondo de valle. Parcela temporal de muestreo (0,1 ha). Plantas NO alcoholizadas."	-14.2411111	-68.53	2005-10-01	"MO"	"LPB, MO"	"LPB, MO"	"LPB, MO"	NA	280	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Handroanthus selachidentatus (A.H.Gentry) S.O.Grose"	"Bignoniaceae"	"Handroanthus selachidentatus"	"(A.H. Gentry) S.O. Grose"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Santana Patamar plano em solo amarelo compacto."	-9.6425	-40	1983-11-23	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Corrientes"	"Beron de Astrada"	"46 km Oeste de Itá Ibaté, Valencia"	-27.45	-57.62	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Mitracarpus bicrucis"	"Rubiaceae"	"Mitracarpus bicrucis Bacigalupo & E.L.Cabral"	"Rubiaceae"	"Mitracarpus bicrucis"	"Bacigalupo & E.L. Cabral"	"flowering plants"	"Accepted"	"Rubiaceae"	"Bacigalupo & E.L. Cabral"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	NA	NA	"Chiquitos. Ca. 10 km NW of Roboré to San Pedro, then NE onto the serranía, from 0.5-5 km. 18°15' S 059°49' W, 400-600 m."	-18.25	-59.81667	1995-02-05	"GBIF"	"WU"	"WU"	"WU"	"Herbarium WU"	3615	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"UNK"	"Status unknown, no checklists for region of observation"	NA	NA	NA	NA	NA	"Australia"	"Queensland"	NA	"Glasshouse grown, James Cook University, Townsville."	-19.3272	146.7608	1995-07-11	"GBIF"	"JCT"	"JCT"	"JCT"	"JCT"	3258	0	0	NA	0	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Handroanthus selachidentatus (A.H.Gentry) S.O.Grose"	"Bignoniaceae"	"Handroanthus selachidentatus"	"(A.H. Gentry) S.O. Grose"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Fazenda Ouro Branco."	-11.376667	-41.250278	2006-10-13	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Acesso pela Fazenda Dois Corações. Interior de Floresta Estacional Decidual. Solo ferruginoso."	-19.13693	-57.50524	2004-11-23	"GBIF"	"UNICAMP"	"UNICAMP"	"UNICAMP"	"UEC"	2136	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	NA	NA	"Paraguay"	NA	NA	"Chaco-í (Asunción) - Chacoí, 25°12'S 57°38'W/Departamento de Presidente Hayes"	-25.25	-57.61667	1989-12-05	"GBIF"	"G"	"G"	"G"	"Geneva Herbarium – General Collection (G)"	3547	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"flbr, conosur"	0	"N"	"N"	NA	"Brazil"	"Rio Grande do Sul"	NA	"Ao longo de estrada de terra que margeia, ao norte, a rodovia BR-287."	-29.683333	-52.70389	NA	"GBIF"	"Cenargen"	"Cenargen"	"Cenargen"	"CEN"	3199	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Terras"	-19.45	-57.75	1992-05-12	"GBIF"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"CPAP"	2018	0	0	NA	1	"specimen"
"Cascaronia astragalina"	"Fabaceae"	"Cascaronia astragalina Griseb."	"Fabaceae"	"Cascaronia astragalina"	"Griseb."	"flowering plants"	"Accepted"	"Fabaceae"	"Griseb."	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Salta"	"Oran"	""	-23.37	-64.22	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Calea dalyi"	"Asteraceae"	"Calea dalyi Pruski & Urbatsch"	"Asteraceae"	"Calea dalyi"	"Pruski & Urbatsch"	"flowering plants"	"Accepted"	"Asteraceae"	"Pruski & Urbatsch"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Chiquitos"	"S. slope of the Serranía de Santiago, 5-10 km E of town of Santiago de Chiquitos"	-18.3833333	-59.5	1983-07-20	"MO"	"K, LPB, NY, UB, US"	"K, LPB, NY, UB, US"	"K, LPB, NY, UB, US"	NA	280	0	0	NA	1	"specimen"
"Cascaronia astragalina"	"Fabaceae"	"Cascaronia astragalina Griseb."	"Fabaceae"	"Cascaronia astragalina"	"Griseb."	"flowering plants"	"Accepted"	"Fabaceae"	"Griseb."	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Jujuy"	"Ledesma"	"Cauce del río San Lorenzo, ca. del puente de RN 34 Gral. San Martín-Calilegua."	-23.78	-64.78	NA	"GBIF"	"BAB"	"BAB"	"BAB"	"HERB"	3614	0	0	NA	1	"specimen"
"Bauhinia tuichiensis"	"Fabaceae"	"Bauhinia tuichiensis Cayola & A. Fuentes"	"Fabaceae"	"Bauhinia tuichiensis"	"Cayola & A. Fuentes"	"flowering plants"	"Accepted"	"Fabaceae"	"Cayola & A. Fuentes"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"La Paz"	"Franz Tamayo"	"Parque Nacional Madidi, camino Apolo-Azariamas, arroyo Pintata. A hora y media del campamento principal sobre el arroyo Pintata. Bosque seco ribereno en terraza. Parcela Temporal de Muestreo 84 (0.1 ha).; ="	-14.47722	-68.53611	2003-03-03	"MO"	"LPB, MO"	"LPB, MO"	"LPB, MO"	NA	280	0	0	NA	1	"specimen"
"Mitracarpus bicrucis"	"Rubiaceae"	"Mitracarpus bicrucis Bacigalupo & E.L. Cabral"	"Rubiaceae"	"Mitracarpus bicrucis"	"Bacigalupo & E.L. Cabral"	"flowering plants"	"Accepted"	"Rubiaceae"	"Bacigalupo & E.L. Cabral"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Chiquitos"	"Ca. 10 km NW of Roboré to San Pedro, then NE onto the serranía, from 0.5-5 km. Mosaic of cerrado, dry forest, and large rock outcrops."	-18.25	-59.8166667	1995-02-05	"MO"	"CTES, MO, NY, USZ, WU"	"CTES, MO, NY, USZ, WU"	"CTES, MO, NY, USZ, WU"	NA	280	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Handroanthus selachidentatus (A.H.Gentry) S.O.Grose"	"Bignoniaceae"	"Handroanthus selachidentatus"	"(A.H. Gentry) S.O. Grose"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"ca. 750m W of BA-052 road at km 289. Part of voucher specimen collections of a permanent 0.5 ha plot MOR02 during project NordEste."	-11.483333	-41.333333	2017-03-06	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	NA	NA	"Paraguay"	NA	NA	"Ruta Transchaco, km 250 - Ruta Trans Chaco, Km 245/Departamento de Presidente Hayes"	-23.63333	-58.7	1987-12-18	"GBIF"	"G"	"G"	"G"	"Geneva Herbarium – General Collection (G)"	3547	0	0	NA	1	"specimen"
"Senna coimbrae"	"Caesalpiniaceae"	"Senna coimbrae M. Nee & Barneby"	"Fabaceae"	"Senna coimbrae"	"M. Nee & Barneby"	"flowering plants"	"Accepted"	"Fabaceae"	"M. Nee & Barneby"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Santiesteban"	"7.5 km by road NW of bridge at Chané Independencia.; vegetation: Flat, clay, mostly in fields of sugar cane, with a few Acrocomia aculeata and Attalea speciosa trees."	-16.933	-63.267	1998-04-05	"NY"	"NY"	"NY"	"NY"	"Herbarium"	104	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Tabebuia selachidentata A.H.Gentry"	"Bignoniaceae"	"Tabebuia selachidentata"	"A.H. Gentry"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Parque Estadual de Morro do Chapéu: Lages."	-11.493333	-41.328056	2006-08-26	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Inga approximata"	"Fabaceae"	"Inga approximata T.D. Penn."	"Fabaceae"	"Inga approximata"	"T.D. Penn."	"flowering plants"	"Accepted"	"Fabaceae"	"T.D. Penn."	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Florida"	"La Yunga ca 25 km N of Mairana, cloud forest remnant"	-18.06666	-63.9	1993-05-22	"MO"	"K, LPB, MO"	"K, LPB, MO"	"K, LPB, MO"	NA	280	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"flbr, conosur"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Chico Periquito"	-9.753056	-41.356944	2014-09-27	"GBIF"	"UFRGS"	"UFRGS"	"UFRGS"	"ICN"	2637	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Handroanthus selachidentatus (A.H.Gentry) S.O.Grose"	"Bignoniaceae"	"Handroanthus selachidentatus"	"(A.H. Gentry) S.O. Grose"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"ca. 200m W of BA-052 road at km 287. Part of voucher specimen collections of a permanent 0.5 ha plot MOR01 during project NordEste."	-11.483333	-41.316667	2017-03-08	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Buenos Aires"	"Partido de San Nicolas"	"San Nicolás de Los Arroyos."	-33.47	-60.29	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Tabebuia selachidentata A.H.Gentry"	"Bignoniaceae"	"Tabebuia selachidentata"	"A.H. Gentry"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	""	-12.75	-39.533333	2005-09-17	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Handroanthus selachidentatus (A.H.Gentry) S.O.Grose"	"Bignoniaceae"	"Handroanthus selachidentatus"	"(A.H. Gentry) S.O. Grose"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Morro do Agenor."	-12.7	-39.766667	1995-11-26	"GBIF"	"UESB"	"UESB"	"UESB"	"HUESB"	1632	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	NA	NA	"Argentina"	NA	NA	"Formosa, Pilcomayo, Vera del Rcho. Monte Lindo Chico."	-25.563333	-58.27	NA	"GBIF"	"Cenargen"	"Cenargen"	"Cenargen"	"CEN"	3199	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Corrientes"	"Ituzaingo"	""	-27.72	-56.73	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Arachis chiquitana"	"Fabaceae"	"Arachis chiquitana Krapov., W.C.Greg. & C.E.Simpson"	"Fabaceae"	"Arachis chiquitana"	"Krapov. & al."	"flowering plants"	"Accepted"	"Fabaceae"	"Krapov. & al."	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	NA	NA	"Prov. Chiquitos, dep. Santa Cruz. Ca. 300 m.s.m"	-17.783333	-60.783333	NA	"GBIF"	"Cenargen"	"Cenargen"	"Cenargen"	"CEN"	3199	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Corrientes"	"San Martin"	"Arrocera Drews, 10 km al NE de Col. C.Pellegrini"	-28.76	-56.95	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Serra do Rabichão, Planalto Residual do Urucum.&nf;Acesso Fazenda Uruba. &nf;Interior de Floresta Estacional Decidual."	-19.0689	-57.3013	2004-07-21	"GBIF"	"UNICAMP"	"UNICAMP"	"UNICAMP"	"UEC"	2136	0	0	NA	1	"specimen"
"Inga approximata"	"Fabaceae"	"Inga approximata T.D. Penn."	"Fabaceae"	"Inga approximata"	"T.D. Penn."	"flowering plants"	"Accepted"	"Fabaceae"	"T.D. Penn."	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Manuel Maria Caballero"	"Siberia, entre el Empalme y Locotal; Bosque nublado con presencia de Weinmannia sp"	-17.78916	-64.71944	2004-04-08	"MO"	"MO, USZ"	"MO, USZ"	"MO, USZ"	NA	280	0	0	NA	1	"specimen"
"Cascaronia astragalina"	"Fabaceae"	"Cascaronia astragalina Griseb."	"Fabaceae"	"Cascaronia astragalina"	"Griseb."	"flowering plants"	"Accepted"	"Fabaceae"	"Griseb."	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	NA	NA	"Argentina"	NA	NA	"Río Juramento [Cumbres Altas del Presidio] - Sierras Altas del Presidio. Río Juramento, 19,7 km al E (aguas abajo) del dique Cabra Corral/Provincia de Salta"	-25.26667	-65.3	1986-10-24	"GBIF"	"G"	"G"	"G"	"Geneva Herbarium – General Collection (G)"	3547	0	0	NA	1	"specimen"
